"","year","month","MaxTemperature"
"1",2000,1,344.8673115
"2",2000,2,345.2218633
"3",2000,3,359.104992
"4",2000,4,350.5876703
"5",2000,5,335.0776864
"6",2000,6,309.06795
"7",2000,7,292.4929257
"8",2000,8,288.2587602
"9",2000,9,301.8459142
"10",2000,10,315.521068
"11",2000,11,343.2255576
"12",2000,12,337.6707168
"13",2001,1,343.4997626
"14",2001,2,353.4728426
"15",2001,3,365.0909108
"16",2001,4,345.5941266
"17",2001,5,340.2466215
"18",2001,6,306.4075158
"19",2001,7,294.131582
"20",2001,8,285.7484028
"21",2001,9,296.2416248
"22",2001,10,323.9333739
"23",2001,11,339.4910225
"24",2001,12,343.7427131
"25",2002,1,333.4860888
"26",2002,2,352.6290079
"27",2002,3,361.7987044
"28",2002,4,344.4477415
"29",2002,5,339.5662847
"30",2002,6,316.107777
"31",2002,7,301.7589967
"32",2002,8,288.5058893
"33",2002,9,299.8349218
"34",2002,10,313.287578
"35",2002,11,338.087007
"36",2002,12,339.0641253
"37",2003,1,345.2828449
"38",2003,2,361.8033733
"39",2003,3,360.7924421
"40",2003,4,340.6370049
"41",2003,5,336.8380609
"42",2003,6,303.2336249
"43",2003,7,294.4004849
"44",2003,8,290.4963923
"45",2003,9,298.5031521
"46",2003,10,322.7534954
"47",2003,11,339.7829541
"48",2003,12,334.7420764
"49",2004,1,339.8665725
"50",2004,2,352.7998348
"51",2004,3,351.5303668
"52",2004,4,339.3897804
"53",2004,5,320.3030132
"54",2004,6,304.9783957
"55",2004,7,289.7801913
"56",2004,8,288.9815308
"57",2004,9,302.9957752
"58",2004,10,323.5247868
"59",2004,11,336.6798566
"60",2004,12,341.6499028
"61",2005,1,334.4488283
"62",2005,2,360.7511168
"63",2005,3,359.6793508
"64",2005,4,348.0899945
"65",2005,5,328.6681157
"66",2005,6,305.5940517
"67",2005,7,293.0580733
"68",2005,8,287.7059727
"69",2005,9,303.9877834
"70",2005,10,322.3713007
"71",2005,11,342.2951359
"72",2005,12,343.4608129
"73",2006,1,338.037305
"74",2006,2,356.7364206
"75",2006,3,356.4220335
"76",2006,4,353.7635313
"77",2006,5,325.1685913
"78",2006,6,319.3055015
"79",2006,7,302.4330652
"80",2006,8,290.3974406
"81",2006,9,298.2232802
"82",2006,10,319.1139254
"83",2006,11,331.0736059
"84",2006,12,334.2063821
"85",2007,1,334.0651604
"86",2007,2,367.3263695
"87",2007,3,362.6431917
"88",2007,4,343.5569798
"89",2007,5,331.5858412
"90",2007,6,312.9634777
"91",2007,7,298.2080579
"92",2007,8,286.0478491
"93",2007,9,302.1058682
"94",2007,10,320.6536384
"95",2007,11,336.9750896
"96",2007,12,337.8877613
"97",2008,1,321.0587461
"98",2008,2,354.3193776
