"","year","month","Precipitation"
"1",2000,1,20.793391
"2",2000,2,6.4760959
"3",2000,3,67.442377
"4",2000,4,120.5864871
"5",2000,5,132.4023968
"6",2000,6,182.5928168
"7",2000,7,133.1521164
"8",2000,8,144.482872
"9",2000,9,168.6909712
"10",2000,10,101.1775633
"11",2000,11,25.9665008
"12",2000,12,4.763368
"13",2001,1,14.1145205
"14",2001,2,9.1134927
"15",2001,3,31.8962027
"16",2001,4,146.7914947
"17",2001,5,132.2026988
"18",2001,6,170.5929253
"19",2001,7,113.6616505
"20",2001,8,133.6622021
"21",2001,9,195.166854
"22",2001,10,71.1411101
"23",2001,11,34.245623
"24",2001,12,7.4731969
"25",2002,1,8.4054087
"26",2002,2,12.6654843
"27",2002,3,66.3319669
"28",2002,4,132.6314398
"29",2002,5,134.0820015
"30",2002,6,202.1651987
"31",2002,7,202.3369392
"32",2002,8,147.8875769
"33",2002,9,124.9976147
"34",2002,10,175.5166129
"35",2002,11,34.2387332
"36",2002,12,3.6882867
"37",2003,1,18.4545537
"38",2003,2,30.8796226
"39",2003,3,63.5652461
"40",2003,4,131.2095325
"41",2003,5,144.636737
"42",2003,6,213.7205589
"43",2003,7,121.1005659
"44",2003,8,159.3958997
"45",2003,9,185.1444619
"46",2003,10,162.9660787
"47",2003,11,69.4791392
"48",2003,12,15.4361672
"49",2004,1,30.2819247
"50",2004,2,28.9086244
"51",2004,3,54.8534811
"52",2004,4,104.891742
"53",2004,5,121.2517899
"54",2004,6,118.4360089
"55",2004,7,172.2347866
"56",2004,8,145.7246915
"57",2004,9,204.6190541
"58",2004,10,153.5600276
"59",2004,11,50.742546
"60",2004,12,16.1373542
"61",2005,1,4.495054
"62",2005,2,29.1267422
"63",2005,3,96.990392
"64",2005,4,96.8879352
"65",2005,5,157.8893277
"66",2005,6,155.3849635
"67",2005,7,150.8242172
"68",2005,8,97.4957858
"69",2005,9,164.798152
"70",2005,10,154.7982552
"71",2005,11,48.8764311
"72",2005,12,19.5434852
"73",2006,1,6.9026462
"74",2006,2,26.9813091
"75",2006,3,64.9511907
"76",2006,4,69.9606346
"77",2006,5,182.6483656
"78",2006,6,156.7429003
"79",2006,7,119.8405301
"80",2006,8,119.9610276
"81",2006,9,208.5238363
"82",2006,10,180.5873411
"83",2006,11,29.305604
"84",2006,12,4.2102934
"85",2007,1,0
"86",2007,2,18.4926146
"87",2007,3,53.5178358
"88",2007,4,163.0620511
"89",2007,5,133.4043321
"90",2007,6,150.5134978
"91",2007,7,177.8844137
"92",2007,8,199.4791911
"93",2007,9,223.698932
"94",2007,10,153.8616896
"95",2007,11,71.6177407
"96",2007,12,21.5817585
"97",2008,1,3.3896598
"98",2008,2,14.4991484
"99",2008,3,99.937882
"100",2008,4,106.4373817
"101",2008,5,157.029405
"102",2008,6,205.901106
"103",2008,7,201.970401
"104",2008,8,213.2303989
"105",2008,9,176.4966939
"106",2008,10,125.2885387
"107",2008,11,57.8848357
"108",2008,12,33.3143662
"109",2009,1,4.4826048
"110",2009,2,32.4460734
"111",2009,3,82.812294
"112",2009,4,121.3752057
"113",2009,5,132.7110858
"114",2009,6,212.8348562
"115",2009,7,212.839049
"116",2009,8,158.5532844
"117",2009,9,149.8155994
"118",2009,10,130.5369879
"119",2009,11,35.3807129
"120",2009,12,23.7177765
"121",2010,1,13.4463185
"122",2010,2,36.6579795
"123",2010,3,45.5480811
"124",2010,4,105.4029858
"125",2010,5,108.5632844
"126",2010,6,187.3293473
"127",2010,7,134.9894516
"128",2010,8,189.4431219
"129",2010,9,247.2266599
"130",2010,10,201.3215266
"131",2010,11,69.6227836
"132",2010,12,21.2992805
"133",2011,1,9.7809386
"134",2011,2,43.223228
"135",2011,3,45.3120918
"136",2011,4,74.7296626
"137",2011,5,113.0966969
"138",2011,6,163.8861555
"139",2011,7,190.8989884
"140",2011,8,134.3493048
"141",2011,9,186.0744464
"142",2011,10,203.9430735
"143",2011,11,21.4862101
"144",2011,12,5.0656825
"145",2012,1,18.641622
"146",2012,2,42.8500935
"147",2012,3,30.2990188
"148",2012,4,118.2363713
"149",2012,5,152.3710049
"150",2012,6,186.0371742
"151",2012,7,152.8366925
"152",2012,8,138.1355193
"153",2012,9,185.3440664
"154",2012,10,121.8681256
"155",2012,11,61.1568305
"156",2012,12,70.3858561
"157",2013,1,12.9745217
"158",2013,2,4.845522
"159",2013,3,76.889669
"160",2013,4,129.8048799
"161",2013,5,155.3930213
"162",2013,6,125.9326889
"163",2013,7,118.4883066
"164",2013,8,106.9036298
"165",2013,9,162.1558848
"166",2013,10,131.7101706
"167",2013,11,91.1359279
"168",2013,12,21.687771
"169",2014,1,27.6571981
"170",2014,2,32.4489187
"171",2014,3,91.0568626
"172",2014,4,109.8106525
"173",2014,5,124.5531273
"174",2014,6,185.8713102
"175",2014,7,135.9368679
"176",2014,8,133.5483876
"177",2014,9,218.2756305
"178",2014,10,118.1070144
"179",2014,11,80.8788538
"180",2014,12,7.6786315
"181",2015,1,3.9495564
"182",2015,2,66.0831892
"183",2015,3,88.5151743
"184",2015,4,53.6472467
"185",2015,5,101.9240893
"186",2015,6,136.29908
"187",2015,7,100.8340201
"188",2015,8,172.4167606
"189",2015,9,117.9625019
"190",2015,10,163.4782096
"191",2015,11,49.9773756
"192",2015,12,2.1897742
"193",2016,1,0.2897241
"194",2016,2,3.0785403
"195",2016,3,33.0131714
"196",2016,4,32.1623565
"197",2016,5,74.7790242
"198",2016,6,112.561508
"199",2016,7,49.9959159
"200",2016,8,102.7328214
"201",2016,9,166.6424515
"202",2016,10,66.6411149
"203",2016,11,10.2464653
"204",2016,12,3.9714726
"205",2017,1,0.4187309
"206",2017,2,6.9843735
"207",2017,3,19.8863005
"208",2017,4,55.6904519
"209",2017,5,149.8154077
"210",2017,6,125.9461023
"211",2017,7,74.0996129
"212",2017,8,64.9624867
"213",2017,9,118.6726175
"214",2017,10,41.9522524
"215",2017,11,16.4264132
"216",2017,12,4.5780777
"217",2018,1,4.5465411
"218",2018,2,44.3852728
"219",2018,3,88.8384991
"220",2018,4,86.4841828
"221",2018,5,135.4233266
"222",2018,6,177.4303841
"223",2018,7,163.5969412
"224",2018,8,195.1394947
"225",2018,9,220.3775417
"226",2018,10,170.137894
"227",2018,11,34.5193804
"228",2018,12,15.6793441
"229",2019,1,4.9163921
"230",2019,2,16.14041
"231",2019,3,54.4102808
"232",2019,4,89.3083259
"233",2019,5,130.4482471
"234",2019,6,157.5357396
"235",2019,7,162.1092027
"236",2019,8,110.1879239
"237",2019,9,182.1162338
"238",2019,10,240.9493853
"239",2019,11,29.1952488
"240",2019,12,6.6271907
"241",2020,1,2.4722628
"242",2020,2,4.3890406
"243",2020,3,77.28518
"244",2020,4,75.2931498
"245",2020,5,115.7387618
"246",2020,6,138.4267881
"247",2020,7,178.1710376
"248",2020,8,97.4762867
"249",2020,9,211.4769071
"250",2020,10,163.3390916
"251",2020,11,26.3227253
"252",2020,12,13.726279
"253",2021,1,5.1696039
"254",2021,2,10.1524518
"255",2021,3,53.3477693
"256",2021,4,45.260095
"257",2021,5,69.4395148
"258",2021,6,190.1990095
"259",2021,7,138.7417835
"260",2021,8,196.6507848
"261",2021,9,199.0818604
"262",2021,10,112.3194763
"263",2021,11,35.2457294
"264",2021,12,4.1463002
