"","X","year","month","mean_evi","date","Precipitation","Evapotranspiration","Humidity","Drought","MiniTemperature","MaxTemperature"
"1",119,2000,1,NA,"2000-01-01",1.03446192896007,2.93685728083697e-05,0.0151993310660893,-86.1249551774144,217.181413136639,315.837925587444
"2",215,2000,2,NA,"2000-02-01",0.991728828178321,2.63435430176796e-05,0.0123180565967453,-168.351198807176,210.775077953043,325.4742552565
"3",1,2000,3,0.460296811637672,"2000-03-01",3.21328094140068,2.92731223191906e-05,0.0161132528470473,-220.691993451033,232.661971271831,332.038919868283
"4",2,2000,4,0.683807473427489,"2000-04-01",5.18105266009732,4.51587809700941e-05,0.0174854078889643,-190.382858814074,224.042359069542,321.680998215591
"5",510,2000,5,NA,"2000-05-01",6.71509084699474,4.75805942513879e-05,0.0174949731103338,-210.671413965656,228.876524176153,318.398270594316
"6",610,2000,6,NA,"2000-06-01",8.27979640566294,4.92851764701943e-05,0.0164462095980675,-209.068350109113,222.494495167138,295.693687793074
"7",710,2000,7,NA,"2000-07-01",2.69224508778628,4.62595718598451e-05,0.0154824196394872,-226.435585049402,218.283655128855,280.267000654882
"8",810,2000,8,NA,"2000-08-01",2.27833528710166,4.11017806453448e-05,0.0152177670547883,-243.067381872408,210.819643473619,278.743343854814
"9",910,2000,9,NA,"2000-09-01",3.00788848801851,4.26656465278597e-05,0.0155884613426438,-284.102311204339,217.148099087386,291.022239132515
"10",3,2000,10,0.73296262113521,"2000-10-01",3.82660348888899,4.90702513415589e-05,0.0157291464991101,-359.927570729234,221.455262741115,299.6621131315
"11",1110,2000,11,NA,"2000-11-01",2.19768436034356,4.2778909364012e-05,0.0160967926915838,-396.282173857653,216.35238112909,320.161944621306
"12",4,2000,12,0.531358775551598,"2000-12-01",1.10268646987822,2.69712144397768e-05,0.0143638908714059,-459.730153962849,218.713758819615,321.365856776496
"13",5,2001,1,0.473060821383845,"2001-01-01",0.354277737750048,2.09453300130389e-05,0.0139363906624264,-453.204575149272,206.32917661039,320.049959112791
"14",6,2001,2,0.583721022467458,"2001-02-01",1.27831528284013,2.06405820299678e-05,0.0135289608202519,-489.523263739196,218.392914236565,331.437442108046
"15",7,2001,3,0.763838659810177,"2001-03-01",4.26973630314804,3.60969703639113e-05,0.0168167286775461,-556.546418947585,223.403494014171,332.497597599726
"16",161,2001,4,NA,"2001-04-01",6.28068110983356,4.44334529650951e-05,0.017355286026311,-364.114410538949,222.296572799813,319.761057137999
"17",171,2001,5,NA,"2001-05-01",7.45176200321773,4.06681190306524e-05,0.0177275420182795,-304.379087841843,231.669386260775,324.668555759734
