system:time_start,EVI,NDVI
"Feb 18, 2000","3,221.515","4,040.593"
"Mar 5, 2000","3,590.108","4,627.472"
"Mar 21, 2000","3,867.736","4,931.107"
"Apr 6, 2000","3,780.006","4,746.537"
"Apr 22, 2000","5,282.712","6,804.29"
"May 8, 2000","4,477.806","5,772.739"
"May 24, 2000","5,077.284","6,382.515"
"Jun 9, 2000","4,729.145","6,449.723"
"Jun 25, 2000","4,263.814","5,715.759"
"Jul 11, 2000","4,037.553","5,203.519"
"Jul 27, 2000","2,617.846","2,882.61"
"Aug 12, 2000","3,767.964","5,309.767"
"Aug 28, 2000","3,182.737","3,845.26"
"Sep 13, 2000","3,314.779","3,678.945"
"Sep 29, 2000","3,625.633","4,744.426"
"Oct 15, 2000","4,956.482","6,438.016"
"Oct 31, 2000","4,119.68","5,809.579"
"Nov 16, 2000","4,483.786","6,626.872"
"Dec 2, 2000","3,335.695","5,376.099"
"Dec 18, 2000","3,447.145","5,811.45"
"Jan 1, 2001","3,143.151","5,116.435"
"Jan 17, 2001","2,943.694","4,796.028"
"Feb 2, 2001","3,422.356","5,318.917"
"Feb 18, 2001","3,701.947","5,309.292"
"Mar 6, 2001","3,780.046","5,430.579"
"Mar 22, 2001","5,649.217","7,155.902"
"Apr 7, 2001","5,580.541","7,517.693"
"Apr 23, 2001","5,563.902","7,201.441"
"May 9, 2001","6,015.512","8,339.092"
"May 25, 2001","4,372.857","5,271.524"
"Jun 10, 2001","3,684.37","4,586.192"
"Jun 26, 2001","2,117.04","2,213.964"
"Jul 12, 2001","4,286.264","5,693.337"
"Jul 28, 2001","3,224.19","4,134.045"
"Aug 13, 2001","2,568.052","2,816.919"
"Aug 29, 2001","3,007.655","3,231.706"
"Sep 14, 2001","3,827.402","4,608.315"
"Sep 30, 2001","3,975.538","5,209.479"
"Oct 16, 2001","4,143.474","5,407.39"
"Nov 1, 2001","4,089.256","5,853.383"
"Nov 17, 2001","4,082.929","5,849.591"
"Dec 3, 2001","3,460.339","4,773.166"
"Dec 19, 2001","3,553.36","5,848.294"
"Jan 1, 2002","3,555.244","5,648.256"
"Jan 17, 2002","3,405.181","5,345.638"
"Feb 2, 2002","3,581.539","5,423.796"
"Feb 18, 2002","3,732.891","5,537.281"
"Mar 6, 2002","4,688.319","6,923.613"
"Mar 22, 2002","3,674.502","4,500.928"
"Apr 7, 2002","5,687.396","7,166.111"
"Apr 23, 2002","6,054.03","8,138.546"
"May 9, 2002","4,832.517","5,977.722"
"May 25, 2002","4,722.477","6,153.813"
"Jun 10, 2002","4,946.387","6,138.772"
"Jun 26, 2002","3,457.307","3,938.245"
