Date,Evaporative
2000-12-11,-0.004680007
2000-12-18,0.251297921
2000-12-25,-0.141411439
2001-01-01,-0.215434164
2001-01-08,-0.353768229
2001-01-15,-0.435108602
2001-01-22,-0.630739331
2001-01-29,-0.818779945
2001-02-05,-0.944373727
2001-02-12,-1.125575423
2001-02-19,-0.88697505
2001-02-26,-0.980841219
2001-03-05,-0.745162189
2001-03-12,-0.859114945
2001-03-19,-1.124022722
2001-03-26,-0.938253045
2001-04-02,-1.072685719
2001-04-09,-0.582897365
2001-04-16,-0.474635899
2001-04-23,-0.187969193
2001-04-30,-0.091231272
2001-05-07,-0.24063319
2001-05-14,-0.295418799
2001-05-21,-0.499810815
2001-05-28,-0.42230317
2001-06-04,-0.573547959
2001-06-11,-0.03439749
2001-06-18,0.383603513
2001-06-25,0.147518709
2001-07-02,0.332327008
2001-07-09,0.194922507
2001-07-16,-0.144417062
2001-07-23,-0.370126069
2001-07-30,-0.650703967
2001-08-06,-0.301604897
2001-08-13,-0.555884063
2001-08-20,-0.259055108
2001-08-27,-0.291230738
2001-09-03,-0.384854078
2001-09-10,-0.466129005
2001-09-17,-0.790013671
2001-09-24,-1.135208845
2001-10-01,-1.046476722
2001-10-08,-1.231039047
2001-10-15,-1.072009921
2001-10-22,-0.728564203
2001-10-29,-0.510426104
2001-11-05,-0.156662434
2001-11-12,-0.166947022
2001-11-19,-0.146090895
2001-11-26,-0.07088089
2001-12-03,-0.089423008
2001-12-11,0.381512523
2001-12-18,0.538666308
2001-12-25,0.707401216
2002-01-01,0.489026308
2002-01-08,0.221350849
2002-01-15,-0.145132273
2002-01-22,-0.182707936
2002-01-29,-0.258370161
2002-02-05,-0.494738489
2002-02-12,-0.348144829
2002-02-19,-0.666289508
2002-02-26,-0.81251049
2002-03-05,-0.484558582
2002-03-12,-0.500775039
2002-03-19,-0.78719753
2002-03-26,-0.674682856
2002-04-02,-0.413263977
2002-04-09,-0.327576965
2002-04-16,0.247192159
2002-04-30,0.206476465
2002-05-07,-0.019422989
2002-05-14,-0.135547847
2002-05-21,-0.417760879
2002-05-28,-0.585037291
2002-06-04,-0.712543845
2002-06-11,-0.960394919
2002-06-18,-0.995904148
2002-06-25,-1.13334024
2002-07-02,-0.870645583
2002-07-09,-0.459486425
2002-07-16,-0.637485027
2002-07-23,-0.711784899
2002-07-30,-0.685130417
2002-08-06,-0.877309978
2002-08-13,-0.843887985
2002-08-20,-0.909660757
2002-08-27,-0.899818242
2002-09-03,-0.986206472
2002-09-10,-0.992033243
2002-09-17,-0.939770937
2002-09-24,-0.970897377
2002-10-01,-0.589905322
2002-10-08,-0.735716164
2002-10-15,-0.394587129
2002-10-22,-0.764323235
2002-10-29,-0.917701781
2002-11-05,-1.023461819
2002-11-12,-0.525969923
2002-11-19,-0.793376982
2002-11-26,-0.807165086
2002-12-03,-1.026689053
2002-12-11,-1.047604442
2002-12-18,-0.581757843
2002-12-25,-0.166799232
2003-01-01,-0.148294643
2003-01-08,-0.365493119
2003-01-15,-0.631962776
2003-01-22,-0.782784283
2003-01-29,-0.529226661
2003-02-05,-0.149171084
2003-02-12,0.198245347
2003-02-19,-0.159739241
2003-02-26,-0.274171025
2003-03-05,-0.589055598
2003-03-12,-0.79227519
2003-03-19,-0.773794532
2003-03-26,-0.428084552
2003-04-02,0.009564932
2003-04-09,0.06461437
2003-04-16,-0.10366559
2003-04-23,-0.421719193
2003-04-30,-0.732554317
2003-05-07,-0.853809297
2003-05-14,-0.80334878
2003-05-21,0.325351328
2003-05-28,0.356957436
2003-06-04,-0.010677019
2003-06-11,-0.759903014
2003-06-18,-0.843914092
2003-06-25,-1.011771321
2003-07-02,-0.801698565
2003-07-09,-0.471456051
2003-07-16,-0.388622075
2003-07-23,-0.589009583
2003-07-30,-0.671918154
2003-08-06,-0.257160723
2003-08-13,0.272655338
2003-08-20,0.264153272
2003-08-27,0.3458125
2003-09-03,0.119577348
2003-09-10,-0.176859334
2003-09-17,-0.295166016
2003-09-24,-0.213928029
2003-10-01,-0.175883502
2003-10-08,0.147928908
2003-10-15,0.30348143
2003-10-22,0.287599772
2003-10-29,0.07073763
2003-11-05,0.122761138
2003-11-12,0.088633984
2003-11-19,0.098467574
2003-11-26,0.139195457
2003-12-03,-0.007643154
2003-12-11,0.331220537
2003-12-18,0.296414077
2003-12-25,0.658876061
2004-01-01,0.808421373
2004-01-08,0.496399581
2004-01-15,0.43988198
2004-01-22,0.172168091
2004-01-29,0.259654254
2004-02-05,0.209516749
2004-02-12,0.333113819
2004-02-19,0.385856807
2004-02-26,0.227247104
2004-03-04,-0.045197632
2004-03-11,-0.032539312
2004-03-18,0.158088386
2004-03-25,0.414728135
2004-04-01,0.291473597
2004-04-08,0.083103411
2004-04-15,0.295581758
2004-04-22,0.158807114
2004-04-29,-0.068305634
2004-05-06,0.088887356
2004-05-13,0.417106628
2004-05-20,0.274491251
2004-05-27,-0.032988284
2004-06-03,-0.217277303
2004-06-10,-0.408566505
2004-06-17,-0.016623035
2004-06-24,0.075660244
2004-07-01,0.232753068
2004-07-08,0.211301625
2004-07-15,0.17376247
2004-07-22,-0.151592091
2004-07-29,-0.416981965
2004-08-05,-0.473724991
2004-08-12,-0.578766465
2004-08-19,-0.600230932
2004-08-26,-0.71671021
2004-09-02,-0.763763428
2004-09-09,-0.827109039
2004-09-16,-0.775864422
2004-09-23,-1.005845666
2004-09-30,-0.551882923
2004-10-07,-0.54555589
2004-10-14,-0.162390903
2004-10-21,0.415841728
2004-10-28,0.526340246
2004-11-04,0.491506338
2004-11-11,0.400320411
2004-11-18,0.740092516
2004-11-25,0.90076822
2004-12-02,1.141726971
2004-12-11,0.837523043
2004-12-18,0.500007629
2004-12-25,-0.423986495
2005-01-01,-0.438366026
2005-01-08,-0.501331687
2005-01-15,-0.086534604
2005-01-22,0.6720047
2005-01-29,0.430214703
2005-02-05,0.597080171
2005-02-12,-0.003971208
2005-02-19,0.453769982
2005-02-26,0.593981981
2005-03-05,0.233131349
2005-03-12,0.099542305
2005-03-19,-0.113849744
2005-03-26,-0.21013464
2005-04-02,-0.270706207
2005-04-09,-0.122348666
2005-04-16,0.893247306
2005-04-23,0.805673838
2005-04-30,0.328822672
2005-05-07,0.02972883
2005-05-14,-0.168047309
2005-05-21,-0.422460943
2005-05-28,-0.073340558
2005-06-04,0.672936499
2005-06-11,0.736455679
2005-06-18,0.64307189
2005-06-25,0.392505527
2005-07-02,0.260155678
2005-07-09,-0.065987177
2005-07-16,-0.198390394
2005-07-23,-0.204210714
2005-07-30,-0.211446211
2005-08-06,-0.611783445
2005-08-13,-0.457012564
2005-08-20,-0.495025188
2005-08-27,-0.698165655
2005-09-03,-0.621230066
2005-09-10,-0.493947864
2005-09-17,-0.569107831
2005-09-24,-0.35161522
2005-10-01,-0.278180212
2005-10-08,-0.196956739
2005-10-15,-0.601883411
2005-10-22,-0.354450345
2005-10-29,-0.221814141
2005-11-05,-0.023001354
2005-11-12,0.487008035
2005-11-19,0.270890385
2005-11-26,-0.119852327
2005-12-03,-0.089457639
2005-12-11,0.054070327
2005-12-18,0.44743973
2005-12-25,0.907384574
2006-01-01,0.786581576
2006-01-08,0.582728267
2006-01-15,0.653290749
2006-01-22,0.444161385
2006-01-29,0.217369303
2006-02-05,-0.109621927
2006-02-12,-0.375109643
2006-02-19,-0.407222837
2006-02-26,-0.450200111
2006-03-05,0.213419333
2006-03-12,-0.06323228
2006-03-19,-0.152720213
2006-03-26,-0.472781479
2006-04-02,-0.678309798
2006-04-09,-0.748042881
2006-04-16,-1.180436015
2006-04-23,-0.314848483
2006-04-30,0.729210794
2006-05-07,0.596242785
2006-05-14,0.385094434
2006-05-21,0.01479598
2006-05-28,-0.166331008
2006-06-04,0.322157413
2006-06-11,0.172143891
2006-06-18,-0.142982677
2006-06-25,-0.435944289
2006-07-02,-0.537308395
2006-07-09,-0.558854997
2006-07-16,0.355745882
2006-07-23,0.284025043
2006-07-30,0.257300973
2006-08-06,0.202004552
2006-08-13,0.026389899
2006-08-20,0.31492725
2006-08-27,0.442627251
2006-09-03,0.719034314
2006-09-10,0.755243659
2006-09-17,0.753708839
2006-09-24,0.477191746
2006-10-01,0.342773438
2006-10-08,0.213479266
2006-10-15,-0.410767138
2006-10-22,-0.989284039
2006-10-29,-1.209498882
2006-11-05,-1.698106766
2006-11-12,-1.854568601
2006-11-19,-1.456876636
2006-11-26,-1.069073319
2006-12-03,-0.9817819
2006-12-11,-0.84770447
2006-12-18,-1.132943392
2006-12-25,-1.117203236
2007-01-01,-0.79358983
2007-01-08,-0.535251915
2007-01-15,-0.327834696
2007-01-22,-0.45832485
2007-01-29,-0.521503747
2007-02-05,-0.686059117
2007-02-12,-0.662587047
2007-02-19,-0.375125915
2007-02-26,-0.528957129
2007-03-05,-0.667869031
2007-03-12,-0.021959692
2007-03-19,-0.16035834
2007-03-26,-0.047997974
2007-04-02,-0.006642471
2007-04-09,-0.004022275
2007-04-16,0.147401363
2007-04-23,0.429080307
2007-04-30,0.501294315
2007-05-07,0.034580626
2007-05-14,-0.151656896
2007-05-21,-0.119785726
2007-05-28,-0.347504735
2007-06-04,-0.458705604
2007-06-11,-0.604934216
2007-06-18,-0.537657917
2007-06-25,-0.664576232
2007-07-02,-0.193286344
2007-07-09,-0.125438139
2007-07-16,0.183572963
2007-07-23,0.297957927
2007-07-30,0.374628603
2007-08-06,0.442346781
2007-08-13,0.535408974
2007-08-20,0.588552654
2007-08-27,0.540110946
2007-09-03,0.095411666
2007-09-10,-0.056343433
2007-09-17,-0.130954787
2007-09-24,0.070261247
2007-10-01,0.450315416
2007-10-08,0.280760556
2007-10-15,0.36540997
2007-10-22,0.285514563
2007-10-29,0.743178785
2007-11-05,0.815662146
2007-11-12,0.956808865
2007-11-19,0.01353394
2007-11-26,-0.441478878
2007-12-03,-0.800380945
