time_start,EVI,NDVI
18-Feb-00,"2,670.88","3,574.13"
5-Mar-00,"3,153.15","4,544.29"
21-Mar-00,"3,808.64","5,337.81"
6-Apr-00,"4,073.91","5,483.42"
22-Apr-00,"4,901.68","6,359.27"
8-May-00,"4,363.73","5,641.17"
24-May-00,"4,697.59","5,723.37"
9-Jun-00,"4,382.56","5,583.72"
25-Jun-00,"4,404.78","5,791.40"
11-Jul-00,"3,960.34","5,062.25"
27-Jul-00,"2,798.78","3,208.45"
12-Aug-00,"3,415.38","4,683.19"
28-Aug-00,"2,966.57","3,463.68"
13-Sep-00,"2,745.01","3,035.45"
29-Sep-00,"3,637.42","4,684.54"
15-Oct-00,"4,613.80","6,082.71"
31-Oct-00,"4,126.87","5,816.20"
16-Nov-00,"4,299.31","6,384.13"
2-Dec-00,"3,547.00","5,930.14"
18-Dec-00,"3,249.04","5,474.62"
1-Jan-01,"3,021.91","5,037.52"
17-Jan-01,"3,093.82","5,224.86"
2-Feb-01,"2,986.37","4,926.10"
18-Feb-01,"3,195.94","4,967.56"
6-Mar-01,"3,634.03","5,337.66"
22-Mar-01,"4,878.40","6,728.09"
7-Apr-01,"4,881.07","6,792.98"
23-Apr-01,"5,009.66","6,773.29"
9-May-01,"5,203.80","7,041.83"
25-May-01,"4,819.44","6,355.60"
10-Jun-01,"3,660.72","4,493.58"
26-Jun-01,"2,911.64","3,282.40"
12-Jul-01,"4,195.98","5,394.17"
28-Jul-01,"2,952.12","3,591.88"
13-Aug-01,"2,435.02","2,640.71"
29-Aug-01,"3,107.31","3,757.73"
14-Sep-01,"3,350.63","4,025.81"
30-Sep-01,"3,740.01","4,820.13"
16-Oct-01,"4,363.09","5,894.93"
1-Nov-01,"4,196.34","5,893.94"
17-Nov-01,"3,867.23","5,583.58"
3-Dec-01,"3,693.01","5,542.55"
19-Dec-01,"3,445.21","5,907.94"
1-Jan-02,"3,338.01","5,514.56"
17-Jan-02,"2,901.39","4,879.08"
2-Feb-02,"3,313.58","5,084.29"
