system:time_start,EVI,NDVI
"Feb 18, 2000","3,513.397","4,661.319"
"Mar 5, 2000","3,598.664","5,029.261"
"Mar 21, 2000","4,113.822","5,179.689"
"Apr 6, 2000","3,873.42","5,419.107"
"Apr 22, 2000","4,957.136","6,371.342"
"May 8, 2000","4,474.746","6,060.52"
"May 24, 2000","4,250.564","5,078.041"
"Jun 9, 2000","4,365.518","5,934.466"
"Jun 25, 2000","3,831.845","5,065.311"
"Jul 11, 2000","3,424.044","4,886.954"
"Jul 27, 2000","1,928.959","1,944.622"
"Aug 12, 2000","3,340.148","5,204.508"
"Aug 28, 2000","2,640.359","3,177.77"
"Sep 13, 2000","3,130.092","3,730.621"
"Sep 29, 2000","3,639.281","5,151.828"
"Oct 15, 2000","4,607.265","6,455.879"
"Oct 31, 2000","3,968.702","6,074.822"
"Nov 16, 2000","4,005.58","6,124.905"
"Dec 2, 2000","3,432.409","5,643.934"
"Dec 18, 2000","3,382.555","5,687.097"
"Jan 1, 2001","2,843.428","4,402.555"
"Jan 17, 2001","2,956.809","4,763.205"
"Feb 2, 2001","3,402.849","5,502.364"
"Feb 18, 2001","3,466.343","5,055.386"
"Mar 6, 2001","3,885.847","5,484.263"
"Mar 22, 2001","4,364.613","6,003.62"
"Apr 7, 2001","5,097.406","7,309.611"
"Apr 23, 2001","4,873.167","6,533.007"
"May 9, 2001","5,182.552","7,316.147"
"May 25, 2001","4,471.788","6,130.237"
"Jun 10, 2001","2,778.525","3,650.711"
"Jun 26, 2001","2,689.144","3,253.863"
"Jul 12, 2001","4,111.547","5,708.105"
"Jul 28, 2001","3,022.512","4,088.407"
"Aug 13, 2001","2,685.842","3,035.414"
"Aug 29, 2001","3,058.865","3,630.628"
"Sep 14, 2001","3,300.234","4,070.375"
"Sep 30, 2001","3,938.247","5,380.138"
"Oct 16, 2001","3,975.838","5,540.304"
"Nov 1, 2001","3,795.334","5,756.48"
"Nov 17, 2001","3,814.249","5,753.199"
"Dec 3, 2001","3,429.761","5,082.149"
"Dec 19, 2001","3,476.219","6,552.901"
"Jan 1, 2002","3,467","6,507.066"
"Jan 17, 2002","2,831.002","4,226.971"
"Feb 2, 2002","3,197.321","4,623.896"
"Feb 18, 2002","3,688.208","5,441.18"
"Mar 6, 2002","4,913.226","7,516.643"
"Mar 22, 2002","3,538.321","4,420.427"
"Apr 7, 2002","4,742.025","6,351.181"
"Apr 23, 2002","5,441.847","7,951.695"
"May 9, 2002","4,846.672","7,141.17"
"May 25, 2002","3,792.176","5,279.769"
"Jun 10, 2002","4,317.307","5,613.848"
"Jun 26, 2002","3,763.026","4,886.279"
"Jul 12, 2002","2,864.188","3,530.169"
"Jul 28, 2002","3,564.391","4,622.301"
"Aug 13, 2002","2,300.162","2,653.361"
"Aug 29, 2002","2,184.772","2,242.061"
"Sep 14, 2002","4,009.184","5,057.75"
"Sep 30, 2002","4,141.52","5,598.155"
"Oct 16, 2002","4,522.19","6,390.27"
"Nov 1, 2002","4,301.161","5,962.147"
"Nov 17, 2002","4,159.203","6,291.374"
"Dec 3, 2002","3,608.438","5,347.769"
"Dec 19, 2002","4,310.093","7,369.674"
"Jan 1, 2003","3,072.382","4,649.649"
"Jan 17, 2003","4,396.741","6,430.926"
"Feb 2, 2003","4,578.526","7,084.897"
"Feb 18, 2003","4,284.535","5,874.855"
"Mar 6, 2003","3,796.658","5,388.301"
"Mar 22, 2003","4,389.103","7,118.022"
"Apr 7, 2003","5,287.095","8,193.263"
"Apr 23, 2003","4,643.378","6,256.357"
"May 9, 2003","4,730.369","6,322.145"
"May 25, 2003","4,482.147","5,566.392"
"Jun 10, 2003","4,816.583","6,259.555"
"Jun 26, 2003","4,807.616","7,269.698"
"Jul 12, 2003","4,482.09","5,972.824"
"Jul 28, 2003","3,230.99","4,104.634"
"Aug 13, 2003","2,659.764","3,075.767"
"Aug 29, 2003","2,848.726","3,336.229"
"Sep 14, 2003","4,124.578","4,829.868"
"Sep 30, 2003","4,530.425","6,235.679"
"Oct 16, 2003","4,371.943","7,049.206"
"Nov 1, 2003","5,078.135","7,409.492"
"Nov 17, 2003","4,483.754","6,430.266"
"Dec 3, 2003","4,391.991","7,585.722"
"Dec 19, 2003","3,889.736","6,727.088"
"Jan 1, 2004","2,829.934","4,724.977"
"Jan 17, 2004","3,290.266","4,839.286"
"Feb 2, 2004","3,221.205","4,800.75"
"Feb 18, 2004","5,527.695","7,458.035"
"Mar 5, 2004","3,349.308","4,251.48"
"Mar 21, 2004","4,043.788","4,948.714"
"Apr 6, 2004","4,187.839","5,750.814"
"Apr 22, 2004","4,485.479","6,094.329"
"May 8, 2004","4,272.927","5,840.978"
"May 24, 2004","4,273.235","5,349.29"
"Jun 9, 2004","3,767.662","4,846.418"
"Jun 25, 2004","3,049.41","3,892.344"
"Jul 11, 2004","3,223.216","4,253.485"
"Jul 27, 2004","2,326.336","2,780.457"
"Aug 12, 2004","2,242.649","2,329.665"
"Aug 28, 2004","2,791.081","3,693.643"
"Sep 13, 2004","4,408.555","5,361.228"
"Sep 29, 2004","3,577.116","4,775.613"
"Oct 15, 2004","5,043.031","6,985.641"
"Oct 31, 2004","4,573.713","6,742.211"
"Nov 16, 2004","4,505.785","7,592.252"
"Dec 2, 2004","3,418.371","4,900.594"
"Dec 18, 2004","4,537.86","7,085.145"
"Jan 1, 2005","3,581.514","6,485.676"
"Jan 17, 2005","3,431.997","6,035.471"
"Feb 2, 2005","3,325.668","4,665.678"
"Feb 18, 2005","3,671.578","5,373.852"
"Mar 6, 2005","4,292.78","6,241.756"
"Mar 22, 2005","4,927.067","6,574.429"
"Apr 7, 2005","3,720.721","4,723.68"
"Apr 23, 2005","4,238.373","5,769.227"
"May 9, 2005","4,643.955","6,462.067"
"May 25, 2005","4,456.141","5,995.963"
"Jun 10, 2005","3,686.963","5,166.387"
"Jun 26, 2005","3,527.87","4,498.644"
"Jul 12, 2005","3,766.073","4,930.333"
"Jul 28, 2005","2,774.177","3,540.908"
"Aug 13, 2005","3,078.978","4,031.974"
"Aug 29, 2005","3,201.238","4,237.874"
"Sep 14, 2005","3,019.291","3,343.133"
"Sep 30, 2005","4,178.099","5,934.245"
"Oct 16, 2005","4,021.3","5,895.625"
"Nov 1, 2005","4,113.539","5,900.806"
"Nov 17, 2005","4,148.751","6,200.283"
"Dec 3, 2005","3,215.188","4,875.291"
"Dec 19, 2005","3,375.609","5,878.525"
"Jan 1, 2006","3,005.051","4,848.302"
"Jan 17, 2006","4,885.076","7,132.125"
"Feb 2, 2006","3,737.071","5,666.119"
"Feb 18, 2006","3,626.196","6,102.962"
"Mar 6, 2006","4,810.831","6,728.448"
"Mar 22, 2006","4,273.35","6,074.658"
"Apr 7, 2006","4,479.628","5,955.17"
"Apr 23, 2006","4,742.298","6,138.455"
"May 9, 2006","3,820.523","4,609.877"
"May 25, 2006","5,001.036","7,136.657"
"Jun 10, 2006","4,734.904","6,469.903"
"Jun 26, 2006","4,139.886","5,477.037"
"Jul 12, 2006","3,580.29","4,981.722"
"Jul 28, 2006","3,436.445","4,286.042"
"Aug 13, 2006","3,499.332","4,730.367"
"Aug 29, 2006","3,115.694","3,864.314"
"Sep 14, 2006","3,166.062","4,072.244"
"Sep 30, 2006","3,673.109","4,978.875"
"Oct 16, 2006","3,830.741","5,324.785"
"Nov 1, 2006","4,285.87","5,972.845"
"Nov 17, 2006","3,960.543","5,897.595"
"Dec 3, 2006","3,632.927","5,409.185"
"Dec 19, 2006","3,119.589","5,014.913"
"Jan 1, 2007","3,682.369","6,152.446"
"Jan 17, 2007","2,674.322","4,207.908"
"Feb 2, 2007","3,458.445","5,144.997"
"Feb 18, 2007","3,162.22","4,369.011"
"Mar 6, 2007","3,670.058","5,209.676"
"Mar 22, 2007","4,997.36","7,577.097"
"Apr 7, 2007","4,428.595","6,388.903"
"Apr 23, 2007","5,674.627","7,766.722"
"May 9, 2007","4,471.543","6,587.634"
"May 25, 2007","3,904.318","4,845.109"
