"","","","2000 [2000]","2000 [2000]","2000 [2000]","2001 [2001]","2001 [2001]","2001 [2001]","2002 [2002]","2002 [2002]","2002 [2002]","2003 [2003]","2003 [2003]","2003 [2003]","2004 [2004]","2004 [2004]","2004 [2004]","2005 [2005]","2005 [2005]","2005 [2005]","2006 [2006]","2006 [2006]","2006 [2006]","2007 [2007]","2007 [2007]","2007 [2007]","2008 [2008]","2008 [2008]","2008 [2008]","2009 [2009]","2009 [2009]","2009 [2009]","2010 [2010]","2010 [2010]","2010 [2010]","2011 [2011]","2011 [2011]","2011 [2011]","2012 [2012]","2012 [2012]","2012 [2012]","2013 [2013]","2013 [2013]","2013 [2013]","2014 [2014]","2014 [2014]","2014 [2014]","2015 [2015]","2015 [2015]","2015 [2015]","2016 [2016]","2016 [2016]","2016 [2016]","2017 [2017]","2017 [2017]","2017 [2017]","2018 [2018]","2018 [2018]","2018 [2018]","2019 [2019]","2019 [2019]","2019 [2019]","2020 [2020]","2020 [2020]","2020 [2020]","2021 [2021]","2021 [2021]","2021 [2021]"
"","","","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description"
"Ghana [81]","Temperature change [7271]","April [7004]","°C","1.102","Calculated data","°C","0.474","Calculated data","°C","0.774","Calculated data","°C","0.794","Calculated data","°C","0.637","Calculated data","°C","1.229","Calculated data","°C","1.514","Calculated data","°C","0.772","Calculated data","°C","0.866","Calculated data","°C","0.609","Calculated data","°C","1.807","Calculated data","°C","1.192","Calculated data","°C","0.582","Calculated data","°C","0.76","Calculated data","°C","0.782","Calculated data","°C","1.375","Calculated data","°C","1.772","Calculated data","°C","1.523","Calculated data","°C","1.277","Calculated data","°C","1.757","Calculated data","°C","1.597","Calculated data","°C","1.999","Calculated data"
"Ghana [81]","Temperature change [7271]","August [7008]","°C","0.538","Calculated data","°C","0.329","Calculated data","°C","1.006","Calculated data","°C","0.863","Calculated data","°C","0.791","Calculated data","°C","0.55","Calculated data","°C","1.115","Calculated data","°C","0.954","Calculated data","°C","1.077","Calculated data","°C","1.048","Calculated data","°C","1.26","Calculated data","°C","0.947","Calculated data","°C","0.485","Calculated data","°C","0.615","Calculated data","°C","0.803","Calculated data","°C","1.509","Calculated data","°C","1.32","Calculated data","°C","1.004","Calculated data","°C","1.319","Calculated data","°C","1.594","Calculated data","°C","1.346","Calculated data","°C","1.698","Calculated data"
"Ghana [81]","Temperature change [7271]","December [7012]","°C","0.565","Calculated data","°C","1.417","Calculated data","°C","0.83","Calculated data","°C","0.828","Calculated data","°C","1.744","Calculated data","°C","1.444","Calculated data","°C","0.946","Calculated data","°C","1.127","Calculated data","°C","1.471","Calculated data","°C","1.561","Calculated data","°C","1.073","Calculated data","°C","0.614","Calculated data","°C","0.747","Calculated data","°C","0.68","Calculated data","°C","1.22","Calculated data","°C","0.812","Calculated data","°C","2.218","Calculated data","°C","1.481","Calculated data","°C","1.73","Calculated data","°C","1.711","Calculated data","°C","2.026","Calculated data","°C","2.008","Calculated data"
"Ghana [81]","Temperature change [7271]","February [7002]","°C","-0.925","Calculated data","°C","0.229","Calculated data","°C","0.583","Calculated data","°C","1.452","Calculated data","°C","0.68","Calculated data","°C","1.779","Calculated data","°C","0.937","Calculated data","°C","1.265","Calculated data","°C","0.505","Calculated data","°C","1.248","Calculated data","°C","2.011","Calculated data","°C","0.616","Calculated data","°C","0.715","Calculated data","°C","1.333","Calculated data","°C","0.779","Calculated data","°C","1.164","Calculated data","°C","1.713","Calculated data","°C","2.029","Calculated data","°C","1.499","Calculated data","°C","1.634","Calculated data","°C","1.452","Calculated data","°C","1.096","Calculated data"
"Ghana [81]","Temperature change [7271]","January [7001]","°C","1.133","Calculated data","°C","0.489","Calculated data","°C","0.313","Calculated data","°C","1.258","Calculated data","°C","1.054","Calculated data","°C","0.219","Calculated data","°C","1.048","Calculated data","°C","0.232","Calculated data","°C","-1.37","Calculated data","°C","0.392","Calculated data","°C","1.624","Calculated data","°C","0.627","Calculated data","°C","0.675","Calculated data","°C","1.119","Calculated data","°C","1.464","Calculated data","°C","0.538","Calculated data","°C","1.616","Calculated data","°C","1.71","Calculated data","°C","1.241","Calculated data","°C","2.025","Calculated data","°C","1.504","Calculated data","°C","2.022","Calculated data"
"Ghana [81]","Temperature change [7271]","July [7007]","°C","0.531","Calculated data","°C","0.692","Calculated data","°C","1.149","Calculated data","°C","0.917","Calculated data","°C","0.549","Calculated data","°C","0.552","Calculated data","°C","1.384","Calculated data","°C","1.235","Calculated data","°C","1.148","Calculated data","°C","0.979","Calculated data","°C","1.069","Calculated data","°C","1.026","Calculated data","°C","0.587","Calculated data","°C","0.903","Calculated data","°C","1.272","Calculated data","°C","1.497","Calculated data","°C","1.47","Calculated data","°C","1.333","Calculated data","°C","1.305","Calculated data","°C","1.367","Calculated data","°C","1.344","Calculated data","°C","1.599","Calculated data"
"Ghana [81]","Temperature change [7271]","June [7006]","°C","0.608","Calculated data","°C","0.808","Calculated data","°C","1.018","Calculated data","°C","0.417","Calculated data","°C","0.616","Calculated data","°C","0.719","Calculated data","°C","1.348","Calculated data","°C","1.174","Calculated data","°C","1.047","Calculated data","°C","1.286","Calculated data","°C","1.33","Calculated data","°C","1.176","Calculated data","°C","0.646","Calculated data","°C","1.015","Calculated data","°C","1.231","Calculated data","°C","1.649","Calculated data","°C","1.338","Calculated data","°C","1.386","Calculated data","°C","1.019","Calculated data","°C","1.118","Calculated data","°C","1.507","Calculated data","°C","1.793","Calculated data"
"Ghana [81]","Temperature change [7271]","March [7003]","°C","0.909","Calculated data","°C","0.998","Calculated data","°C","0.99","Calculated data","°C","1.528","Calculated data","°C","0.875","Calculated data","°C","1.427","Calculated data","°C","0.887","Calculated data","°C","1.455","Calculated data","°C","0.883","Calculated data","°C","0.795","Calculated data","°C","1.624","Calculated data","°C","1.075","Calculated data","°C","1.18","Calculated data","°C","1.206","Calculated data","°C","0.882","Calculated data","°C","1.059","Calculated data","°C","1.691","Calculated data","°C","1.627","Calculated data","°C","0.976","Calculated data","°C","1.464","Calculated data","°C","1.926","Calculated data","°C","1.251","Calculated data"
"Ghana [81]","Temperature change [7271]","May [7005]","°C","0.186","Calculated data","°C","0.911","Calculated data","°C","1.001","Calculated data","°C","1.282","Calculated data","°C","0.451","Calculated data","°C","0.775","Calculated data","°C","0.462","Calculated data","°C","0.886","Calculated data","°C","0.997","Calculated data","°C","1.062","Calculated data","°C","1.492","Calculated data","°C","1.145","Calculated data","°C","0.16","Calculated data","°C","0.638","Calculated data","°C","0.836","Calculated data","°C","1.661","Calculated data","°C","1.365","Calculated data","°C","1.575","Calculated data","°C","0.689","Calculated data","°C","1.327","Calculated data","°C","1.728","Calculated data","°C","1.9","Calculated data"
