month,year,NDVI,EVI,Precipitation,MinTemperature,MaxTemperature
1,2001,0.499405263,0.310381579,14.1145205,196.6366868,343.4997626
2,2001,0.499405263,0.310381579,9.1134927,215.0925336,353.4728426
3,2001,0.499405263,0.310381579,31.8962027,232.7547776,365.0909108
4,2001,0.499405263,0.310381579,146.7914947,234.3879034,345.5941266
5,2001,0.499405263,0.310381579,132.2026988,236.9657452,340.2466215
6,2001,0.499405263,0.310381579,170.5929253,223.8753538,306.4075158
7,2001,0.499405263,0.310381579,113.6616505,217.5605452,294.131582
8,2001,0.499405263,0.310381579,133.6622021,212.5568726,285.7484028
9,2001,0.499405263,0.310381579,195.166854,216.4109145,296.2416248
10,2001,0.499405263,0.310381579,71.1411101,218.3835839,323.9333739
11,2001,0.499405263,0.310381579,34.245623,218.0413033,339.4910225
12,2001,0.499405263,0.310381579,7.4731969,210.9518258,343.7427131
1,2001,0.749979246,0.601781079,14.1145205,196.6366868,343.4997626
2,2001,0.749979246,0.601781079,9.1134927,215.0925336,353.4728426
3,2001,0.749979246,0.601781079,31.8962027,232.7547776,365.0909108
4,2001,0.749979246,0.601781079,146.7914947,234.3879034,345.5941266
5,2001,0.749979246,0.601781079,132.2026988,236.9657452,340.2466215
6,2001,0.749979246,0.601781079,170.5929253,223.8753538,306.4075158
7,2001,0.749979246,0.601781079,113.6616505,217.5605452,294.131582
8,2001,0.749979246,0.601781079,133.6622021,212.5568726,285.7484028
9,2001,0.749979246,0.601781079,195.166854,216.4109145,296.2416248
10,2001,0.749979246,0.601781079,71.1411101,218.3835839,323.9333739
11,2001,0.749979246,0.601781079,34.245623,218.0413033,339.4910225
12,2001,0.749979246,0.601781079,7.4731969,210.9518258,343.7427131
1,2001,0.805885683,0.558505013,14.1145205,196.6366868,343.4997626
2,2001,0.805885683,0.558505013,9.1134927,215.0925336,353.4728426
3,2001,0.805885683,0.558505013,31.8962027,232.7547776,365.0909108
4,2001,0.805885683,0.558505013,146.7914947,234.3879034,345.5941266
5,2001,0.805885683,0.558505013,132.2026988,236.9657452,340.2466215
6,2001,0.805885683,0.558505013,170.5929253,223.8753538,306.4075158
7,2001,0.805885683,0.558505013,113.6616505,217.5605452,294.131582
8,2001,0.805885683,0.558505013,133.6622021,212.5568726,285.7484028
9,2001,0.805885683,0.558505013,195.166854,216.4109145,296.2416248
10,2001,0.805885683,0.558505013,71.1411101,218.3835839,323.9333739
11,2001,0.805885683,0.558505013,34.245623,218.0413033,339.4910225
12,2001,0.805885683,0.558505013,7.4731969,210.9518258,343.7427131
1,2002,0.569327273,0.372822727,8.4054087,204.0226665,333.4860888
2,2002,0.569327273,0.372822727,12.6654843,215.4241229,352.6290079
3,2002,0.569327273,0.372822727,66.3319669,240.5691107,361.7987044
4,2002,0.569327273,0.372822727,132.6314398,240.14794,344.4477415
5,2002,0.569327273,0.372822727,134.0820015,239.1772607,339.5662847
6,2002,0.569327273,0.372822727,202.1651987,224.1391224,316.107777
7,2002,0.569327273,0.372822727,202.3369392,221.8648683,301.7589967
8,2002,0.569327273,0.372822727,147.8875769,217.7555925,288.5058893
9,2002,0.569327273,0.372822727,124.9976147,219.0335046,299.8349218
10,2002,0.569327273,0.372822727,175.5166129,215.6544297,313.287578
11,2002,0.569327273,0.372822727,34.2387332,212.9079395,338.087007
12,2002,0.569327273,0.372822727,3.6882867,204.0579489,339.0641253
1,2002,0.606377121,0.436997068,8.4054087,204.0226665,333.4860888
2,2002,0.606377121,0.436997068,12.6654843,215.4241229,352.6290079
3,2002,0.606377121,0.436997068,66.3319669,240.5691107,361.7987044
4,2002,0.606377121,0.436997068,132.6314398,240.14794,344.4477415
5,2002,0.606377121,0.436997068,134.0820015,239.1772607,339.5662847
6,2002,0.606377121,0.436997068,202.1651987,224.1391224,316.107777
7,2002,0.606377121,0.436997068,202.3369392,221.8648683,301.7589967
8,2002,0.606377121,0.436997068,147.8875769,217.7555925,288.5058893
9,2002,0.606377121,0.436997068,124.9976147,219.0335046,299.8349218
10,2002,0.606377121,0.436997068,175.5166129,215.6544297,313.287578
11,2002,0.606377121,0.436997068,34.2387332,212.9079395,338.087007
12,2002,0.606377121,0.436997068,3.6882867,204.0579489,339.0641253
1,2002,0.763152472,0.570153915,8.4054087,204.0226665,333.4860888
2,2002,0.763152472,0.570153915,12.6654843,215.4241229,352.6290079
3,2002,0.763152472,0.570153915,66.3319669,240.5691107,361.7987044
4,2002,0.763152472,0.570153915,132.6314398,240.14794,344.4477415
5,2002,0.763152472,0.570153915,134.0820015,239.1772607,339.5662847
6,2002,0.763152472,0.570153915,202.1651987,224.1391224,316.107777
7,2002,0.763152472,0.570153915,202.3369392,221.8648683,301.7589967
8,2002,0.763152472,0.570153915,147.8875769,217.7555925,288.5058893
9,2002,0.763152472,0.570153915,124.9976147,219.0335046,299.8349218
10,2002,0.763152472,0.570153915,175.5166129,215.6544297,313.287578
11,2002,0.763152472,0.570153915,34.2387332,212.9079395,338.087007
12,2002,0.763152472,0.570153915,3.6882867,204.0579489,339.0641253
1,2002,0.8206268,0.661901773,8.4054087,204.0226665,333.4860888
2,2002,0.8206268,0.661901773,12.6654843,215.4241229,352.6290079
3,2002,0.8206268,0.661901773,66.3319669,240.5691107,361.7987044
4,2002,0.8206268,0.661901773,132.6314398,240.14794,344.4477415
5,2002,0.8206268,0.661901773,134.0820015,239.1772607,339.5662847
6,2002,0.8206268,0.661901773,202.1651987,224.1391224,316.107777
7,2002,0.8206268,0.661901773,202.3369392,221.8648683,301.7589967
8,2002,0.8206268,0.661901773,147.8875769,217.7555925,288.5058893
9,2002,0.8206268,0.661901773,124.9976147,219.0335046,299.8349218
10,2002,0.8206268,0.661901773,175.5166129,215.6544297,313.287578
11,2002,0.8206268,0.661901773,34.2387332,212.9079395,338.087007
12,2002,0.8206268,0.661901773,3.6882867,204.0579489,339.0641253
1,2002,0.617454545,0.362930303,8.4054087,204.0226665,333.4860888
2,2002,0.617454545,0.362930303,12.6654843,215.4241229,352.6290079
3,2002,0.617454545,0.362930303,66.3319669,240.5691107,361.7987044
4,2002,0.617454545,0.362930303,132.6314398,240.14794,344.4477415
5,2002,0.617454545,0.362930303,134.0820015,239.1772607,339.5662847
6,2002,0.617454545,0.362930303,202.1651987,224.1391224,316.107777
7,2002,0.617454545,0.362930303,202.3369392,221.8648683,301.7589967
8,2002,0.617454545,0.362930303,147.8875769,217.7555925,288.5058893
9,2002,0.617454545,0.362930303,124.9976147,219.0335046,299.8349218
10,2002,0.617454545,0.362930303,175.5166129,215.6544297,313.287578
11,2002,0.617454545,0.362930303,34.2387332,212.9079395,338.087007
12,2002,0.617454545,0.362930303,3.6882867,204.0579489,339.0641253
1,2003,0.653648546,0.433128006,18.4545537,206.7416242,345.2828449
2,2003,0.653648546,0.433128006,30.8796226,233.655663,361.8033733
3,2003,0.653648546,0.433128006,63.5652461,237.2527192,360.7924421
4,2003,0.653648546,0.433128006,131.2095325,236.5257116,340.6370049
5,2003,0.653648546,0.433128006,144.636737,236.8741307,336.8380609
6,2003,0.653648546,0.433128006,213.7205589,222.5532759,303.2336249
7,2003,0.653648546,0.433128006,121.1005659,216.0269633,294.4004849
8,2003,0.653648546,0.433128006,159.3958997,215.150557,290.4963923
