"","hex_id","na.cnt","na.cnt.2","trend","p.val","r2","std.er","trnd.strngth","seas.strngth"
"1",8,0,156,3.8481925886654e-06,5.0593750680654e-11,0.15159060861357,0.000699069904182909,0.3,0.8
"2",34,NA,NA,NA,NA,NA,NA,NA,NA
"3",35,NA,NA,NA,NA,NA,NA,NA,NA
"4",59,NA,NA,NA,NA,NA,NA,NA,NA
"5",60,NA,NA,NA,NA,NA,NA,NA,NA
"6",61,NA,NA,NA,NA,NA,NA,NA,NA
"7",62,NA,NA,NA,NA,NA,NA,NA,NA
"8",85,NA,NA,NA,NA,NA,NA,NA,NA
"9",86,NA,NA,NA,NA,NA,NA,NA,NA
"10",87,NA,NA,NA,NA,NA,NA,NA,NA
"11",88,NA,NA,NA,NA,NA,NA,NA,NA
"12",108,NA,NA,NA,NA,NA,NA,NA,NA
"13",109,NA,NA,NA,NA,NA,NA,NA,NA
"14",110,NA,NA,NA,NA,NA,NA,NA,NA
"15",111,NA,NA,NA,NA,NA,NA,NA,NA
"16",112,NA,NA,NA,NA,NA,NA,NA,NA
"17",113,NA,NA,NA,NA,NA,NA,NA,NA
"18",114,NA,NA,NA,NA,NA,NA,NA,NA
"19",115,NA,NA,NA,NA,NA,NA,NA,NA
"20",134,NA,NA,NA,NA,NA,NA,NA,NA
"21",135,NA,NA,NA,NA,NA,NA,NA,NA
"22",136,NA,NA,NA,NA,NA,NA,NA,NA
"23",137,NA,NA,NA,NA,NA,NA,NA,NA
"24",138,NA,NA,NA,NA,NA,NA,NA,NA
"25",139,NA,NA,NA,NA,NA,NA,NA,NA
"26",140,NA,NA,NA,NA,NA,NA,NA,NA
"27",141,NA,NA,NA,NA,NA,NA,NA,NA
"28",148,NA,NA,NA,NA,NA,NA,NA,NA
"29",160,NA,NA,NA,NA,NA,NA,NA,NA
"30",161,NA,NA,NA,NA,NA,NA,NA,NA
"31",162,NA,NA,NA,NA,NA,NA,NA,NA
"32",163,NA,NA,NA,NA,NA,NA,NA,NA
"33",164,NA,NA,NA,NA,NA,NA,NA,NA
"34",165,NA,NA,NA,NA,NA,NA,NA,NA
"35",166,NA,NA,NA,NA,NA,NA,NA,NA
"36",167,NA,NA,NA,NA,NA,NA,NA,NA
"37",173,NA,NA,NA,NA,NA,NA,NA,NA
"38",174,NA,NA,NA,NA,NA,NA,NA,NA
"39",186,NA,NA,NA,NA,NA,NA,NA,NA
"40",187,NA,NA,NA,NA,NA,NA,NA,NA
