"Category","Mean-Temperature"
1901,150
1902,150
1903,150
1904,150
1905,150
1906,150
1907,150
1908,150
1909,150
1910,150
1911,150
1912,150
1913,150
1914,150
1915,150
1916,150
1917,150
1918,150
1919,150
1920,150
1921,150
1922,150
1923,150
1924,150
1925,150
1926,150
1927,150
1928,150
1929,150
1930,150
1931,150
1932,150
1933,150
1934,150
1935,150
1936,150
1937,150
1938,150
1939,150
1940,150
1941,150
1942,150
1943,150
1944,150
1945,150
1946,150
1947,150
1948,150
1949,150
1950,150
1951,150
1952,150
1953,150
1954,150
1955,150
1956,150
1957,150
1958,150
1959,150
1960,150
1961,150
1962,150
1963,150
1964,150
1965,150
1966,150
1967,150
1968,150
1969,150
1970,150
1971,150
1972,150
1973,150
1974,150
1975,150
1976,150
1977,150
1978,150
1979,150
1980,150
1981,150
1982,150
1983,150
1984,150
1985,150
1986,150
1987,150
1988,150
1989,150
1990,150
1991,150
1992,150
1993,150
1994,150
1995,150
1996,150
1997,150
1998,150
1999,150
2000,150
2001,150
2002,150
2003,150
2004,150
2005,150
2006,150
2007,150
2008,150
2009,150
2010,150
2011,150
2012,150
2013,150
2014,150
2015,150
2016,150
2017,150
2018,150
2019,150
2020,150
2021,150
