system:time_start,ndvi
"Nov 24, 2015",0.377
"Nov 24, 2015",0.441
"Nov 24, 2015",0.377
"Nov 24, 2015",0.441
"Dec 24, 2015",0.336
"Dec 24, 2015",0.364
"Dec 24, 2015",
"Dec 24, 2015",
"Jan 13, 2016",0.325
"Jan 13, 2016",0.327
"Jan 13, 2016",
"Jan 13, 2016",
"Jan 23, 2016",0.461
"Jan 23, 2016",0.445
"Jan 23, 2016",
"Jan 23, 2016",
"Feb 12, 2016",0.178
"Feb 12, 2016",0.224
"Feb 12, 2016",
"Feb 12, 2016",
"Mar 3, 2016",0.407
"Mar 3, 2016",
"Mar 23, 2016",0.508
"Mar 23, 2016",0.496
"Mar 23, 2016",0.508
"Mar 23, 2016",0.496
"Apr 12, 2016",0.446
"Apr 12, 2016",0.446
"Apr 22, 2016",0.616
"Apr 22, 2016",0.597
"Apr 22, 2016",0.616
"Apr 22, 2016",0.597
"Oct 29, 2016",0.458
"Oct 29, 2016",0.471
"Oct 29, 2016",0.458
"Oct 29, 2016",0.471
"Nov 8, 2016",0.421
"Nov 8, 2016",0.421
"Nov 18, 2016",0.404
"Nov 18, 2016",0.404
"Nov 28, 2016",0.502
"Nov 28, 2016",0.502
"Dec 28, 2016",0.245
"Dec 28, 2016",0.243
"Jan 7, 2017",0.232
"Jan 7, 2017",0.25
"Jan 27, 2017",0.487
"Jan 27, 2017",0.489
"Feb 6, 2017",0.293
"Feb 6, 2017",0.279
"Mar 18, 2017",0.493
"Mar 28, 2017",0.534
"Mar 28, 2017",0.563
"Apr 17, 2017",0.607
"Apr 17, 2017",0.621
"Apr 27, 2017",0.566
"Apr 27, 2017",0.555
"Jul 11, 2017",0.591
"Jul 11, 2017",0.592
"Oct 9, 2017",0.344
"Oct 29, 2017",0.556
"Oct 29, 2017",0.576
"Nov 3, 2017",0.441
"Nov 3, 2017",0.441
"Nov 3, 2017",0.448
"Nov 3, 2017",0.445
"Nov 8, 2017",0.459
"Nov 8, 2017",0.483
"Nov 18, 2017",0.434
